nombre,latitud,longitud,tipo
Canteré,42.7388911,-0.7512234,rest
Brigecio,42.0666268,-5.784549,rest
La Cantina de Diego,37.1311269,-3.5364549,rest
Pabú,40.4565722,-3.6890656,rest
Deli,36.9951721,-5.5734199,rest
El Raier,42.2498055,0.9661876,rest
Tresmacarrons,41.4827541,2.3327657,rest
Alegría-Dulantzi,42.83981158,-2.51243731,mun
Amurrio,43.05427776,-3.00007326,mun
Aramaio,43.05119653,-2.56540037,mun
Artziniega,43.12084358,-3.12791718,mun
Armiñón,42.72326199,-2.87183475,mun
Arratzua-Ubarrundia,42.89116171,-2.63878816,mun
Asparrena,42.88968768,-2.31670754,mun
Ayala/Aiara,43.07768283,-3.04306746,mun
Baños de Ebro/Mañueta,42.52925602,-2.67863583,mun
Barrundia,42.91537538,-2.49407452,mun
Berantevilla,42.68227191,-2.85971414,mun
Bernedo,42.62676989,-2.49825439,mun
Campezo/Kanpezu,42.66971209,-2.35207693,mun
Zigoitia,42.96210609,-2.73033002,mun
Kripan,42.59082439,-2.51621636,mun
Kuartango,42.87006411,-2.88438243,mun
Elburgo/Burgelu,42.850282,-2.545933,mun
Elciego,42.51420738,-2.61723872,mun
Elvillar/Bilar,42.56842577,-2.54441267,mun
Iruraiz-Gauna,42.83131017,-2.475996232,mun
Labastida/Bastida,42.590217,-2.793199,mun
Lagrán,42.62621464,-2.58423377,mun
Laguardia,42.55236655,-2.58411693,mun
Lanciego/Lantziego,42.5624416,-2.51278162,mun
Lapuebla de Labarca,42.49441468,-2.57209001,mun
Leza,42.56469687,-2.63459428,mun
Laudio/Llodio,43.1425188,-2.96256495,mun
Arraia-Maeztu,42.738527,-2.444299,mun
Moreda de Álava/Moreda Araba,42.52479167,-2.40841718,mun
Navaridas,42.5450594,-2.62479544,mun
Okondo,43.1615513,-3.019026823,mun
Oyón-Oion,42.506067,-2.436788,mun
Peñacerrada-Urizaharra,42.64417512,-2.71402821,mun
Erriberagoitia/Ribera Alta,42.80074682,-2.91080642,mun
Ribera Baja/Erriberabeitia,42.71339792,-2.91704002,mun
Añana,42.8012318,-2.98601634,mun
Agurain/Salvatierra,42.850452,-2.389753,mun
Samaniego,42.56735197,-2.67904862,mun
San Millán/Donemiliaga,42.87382571,-2.37748902,mun
Urkabustaiz,42.95304046,-2.90661046,mun
Valdegovía/Gaubea,42.84756896,-3.09884417,mun
Harana/Valle de Arana,42.75289194,-2.33104687,mun
Villabuena de Álava/Eskuernaga,42.54857804,-2.66452938,mun
Legutio,42.9798744,-2.64255929,mun
Vitoria-Gasteiz,42.85058789,-2.67275685,mun
Yécora/Iekora,42.56923117,-2.4700849,mun
Zalduondo,42.88580971,-2.34650825,mun
Zambrana,42.66112968,-2.87806502,mun
Zuia,42.95597763,-2.81862854,mun
Iruña Oka/Iruña de Oca,42.81819126,-2.8147543,mun
Lantarón,42.71657557,-2.96649719,mun
Abengibre,39.2100078,-1.54384487,mun
Alatoz,39.09494843,-1.36097604,mun
Albacete,38.99588053,-1.85574745,mun
Albatana,38.5708754,-1.52275248,mun
Alborea,39.27835442,-1.39670449,mun
Alcadozo,38.6489758,-1.9802275,mun
Alcalá del Júcar,39.1932018,-1.42932697,mun
Alcaraz,38.66425104,-2.49034957,mun
Almansa,38.86968811,-1.09414681,mun
Alpera,38.95969094,-1.23080245,mun
Ayna,38.55217746,-2.07053831,mun
Balazote,38.88396156,-2.15096732,mun
Balsa de Ves,39.26461253,-1.19650012,mun
El Ballestero,38.84252196,-2.45508633,mun
Barrax,39.0456106,-2.20045637,mun
Bienservida,38.51602097,-2.61184243,mun
Bogarra,38.58025427,-2.21253636,mun
Bonete,38.86950589,-1.34830324,mun
El Bonillo,38.95012362,-2.54023691,mun
Carcelén,39.10231176,-1.30876708,mun
Casas de Juan Núñez,39.10160749,-1.55799035,mun
Casas de Lázaro,38.7705758,-2.23922378,mun
Casas de Ves,39.25946122,-1.33454992,mun
Casas-Ibáñez,39.28701686,-1.47129143,mun
Caudete,38.70573009,-0.9886912,mun
Cenizate,39.30332101,-1.66113349,mun
Corral-Rubio,38.83500072,-1.4608525,mun
Cotillas,38.43135915,-2.50574545,mun
Chinchilla de Monte-Aragón,38.9210968,-1.72602643,mun
Elche de la Sierra,38.44790893,-2.04781376,mun
Férez,38.35567013,-2.00953934,mun
Fuensanta,39.24466001,-2.06725219,mun
Fuente-Álamo,38.69314229,-1.43170411,mun
Fuentealbilla,39.26773579,-1.54879364,mun
La Gineta,39.11387916,-1.99784496,mun
Golosalvo,39.23996013,-1.63626863,mun
Hellín,38.51218953,-1.70344921,mun
La Herrera,38.9621774,-2.12637236,mun
Higueruela,38.96455026,-1.44535609,mun
Hoya-Gonzalo,38.95787352,-1.55687053,mun
Jorquera,39.17457441,-1.52061391,mun
Letur,38.36632081,-2.10096881,mun
Lezuza,38.94878996,-2.35387427,mun
Liétor,38.54083745,-1.95479319,mun
Madrigueras,39.23680339,-1.7997012,mun
Mahora,39.21303088,-1.72481837,mun
Masegoso,38.71877813,-2.31511768,mun
Minaya,39.27118701,-2.31961973,mun
Molinicos,38.46778179,-2.23898151,mun
Montalvos,39.16721439,-2.02769341,mun
Montealegre del Castillo,38.78717469,-1.32487672,mun
Motilleja,39.17948885,-1.79025762,mun
Munera,39.03954575,-2.4830388,mun
Navas de Jorquera,39.28099513,-1.7189485,mun
Nerpio,38.14824043,-2.30224029,mun
Ontur,38.61472661,-1.49888166,mun
Ossa de Montiel,38.96201035,-2.74272664,mun
Paterna del Madera,38.59729435,-2.34555766,mun
Peñascosa,38.67153536,-2.41040499,mun
Peñas de San Pedro,38.72688881,-2.00212787,mun
Pétrola,38.82629814,-1.55549981,mun
